MONTH,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,DEST,CRS_DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,IS_DELAYED,DAY_OF_WEEK,DEP_HOUR,IS_PEAK_HOUR,IS_WEEKEND,ORIGIN_DAILY_FLIGHTS,ROUTE_AVG_DELAY,CARRIER_AVG_DELAY,DELAY_PROBABILITY,flight_idx,gate,delay_probability
1,2023-01-09,DL,ATL,BDL,1040,-1.0,1255,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,0,0,878,5.639240506329114,13.207272336365714,0.22964136,43,51,0.22964136
1,2023-01-09,DL,ATL,BHM,810,5.0,806,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0,878,7.410138248847926,13.207272336365714,0.21380039,44,67,0.21380039
1,2023-01-09,DL,ATL,BHM,1015,-2.0,1008,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,0,0,878,7.410138248847926,13.207272336365714,0.25289026,45,70,0.25289026
1,2023-01-09,DL,ATL,BNA,855,-4.0,904,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0,878,10.641104294478527,13.207272336365714,0.26978338,46,54,0.26978338
1,2023-01-09,DL,ATL,BNA,1145,20.0,1151,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,11,0,0,878,10.641104294478527,13.207272336365714,0.3217118,47,44,0.3217118
1,2023-01-09,DL,ATL,BOI,950,6.0,1240,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9,1,0,878,12.32258064516129,13.207272336365714,0.33125496,48,42,0.33125496
1,2023-01-09,DL,ATL,BOS,720,-2.0,958,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7,1,0,878,16.630695443645084,13.207272336365714,0.2572363,49,37,0.2572363
1,2023-01-09,DL,ATL,BOS,845,-4.0,1117,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0,878,16.630695443645084,13.207272336365714,0.3154255,50,35,0.3154255
1,2023-01-09,DL,ATL,BOS,1015,-4.0,1253,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,0,0,878,16.630695443645084,13.207272336365714,0.39373627,51,48,0.39373627
1,2023-01-09,DL,ATL,BOS,1120,-4.0,1358,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,878,16.630695443645084,13.207272336365714,0.3909603,52,25,0.3909603
1,2023-01-09,DL,ATL,BUF,857,-2.0,1053,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0,878,12.597826086956522,13.207272336365714,0.2820186,53,48,0.2820186
1,2023-01-09,DL,ATL,BWI,733,1.0,924,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7,1,0,878,15.163346613545816,13.207272336365714,0.2572363,54,24,0.2572363
1,2023-01-09,DL,ATL,BWI,912,1.0,1059,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9,1,0,878,15.163346613545816,13.207272336365714,0.35846925,55,26,0.35846925
1,2023-01-09,DL,ATL,BZN,940,-4.0,1202,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9,1,0,878,1.5,13.207272336365714,0.09555268,56,86,0.09555268
